                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3771,                 1.6207,                 1.0836,                0.99898,                0.97387,                0.98364,                0.76599,                0.85833,                0.86439,                 0.9038,             0.00066154,             0.00066154,             0.00066154
                      2,                0.99609,                 0.7567,                0.92222,                0.99892,                0.97387,                 0.9829,                 0.7382,                0.92163,                0.65749,                0.90224,              0.0013019,              0.0013019,              0.0013019
                      3,                0.94385,                0.62141,                0.91008,                0.99936,                0.97387,                0.98562,                0.71695,                0.97986,                0.52639,                0.92291,              0.0019159,              0.0019159,              0.0019159
                      4,                0.92422,                0.55478,                0.90295,                0.99671,                0.97909,                0.98572,                0.80558,                0.68453,                0.48569,                 0.8481,              0.0018812,              0.0018812,              0.0018812
                      5,                0.86755,                 0.5105,                0.88941,                0.99815,                0.97387,                0.98373,                0.83649,                0.59572,                0.40144,                0.82935,              0.0018416,              0.0018416,              0.0018416
                      6,                0.85846,                0.48941,                0.88921,                0.99644,                0.97909,                 0.9866,                0.74321,                0.87964,                0.44985,                0.88277,               0.001802,               0.001802,               0.001802
                      7,                 0.8314,                0.46645,                0.88041,                      1,                0.97547,                0.98757,                0.83906,                0.60669,                0.36413,                0.82788,              0.0017624,              0.0017624,              0.0017624
                      8,                0.81622,                0.45862,                0.87557,                0.99802,                0.97735,                0.99015,                0.81905,                0.68411,                0.34545,                0.84162,              0.0017228,              0.0017228,              0.0017228
                      9,                0.79995,                0.44435,                0.87132,                0.99781,                0.97561,                0.98754,                0.83062,                0.63887,                0.35108,                0.83121,              0.0016832,              0.0016832,              0.0016832
                     10,                0.77691,                0.42833,                0.86614,                0.99823,                 0.9802,                0.98621,                0.83015,                0.64132,                0.37179,                0.84057,              0.0016436,              0.0016436,              0.0016436
                     11,                0.77398,                0.42435,                0.86913,                0.99822,                0.97555,                 0.9893,                0.84027,                0.61531,                0.31826,                0.83493,               0.001604,               0.001604,               0.001604
                     12,                0.75921,                0.41506,                0.86572,                0.99719,                0.97561,                0.98869,                0.83022,                0.62177,                0.42054,                0.83361,              0.0015644,              0.0015644,              0.0015644
                     13,                0.76548,                0.41285,                0.86504,                      1,                0.98201,                0.98629,                0.83646,                0.60714,                0.34032,                0.83339,              0.0015248,              0.0015248,              0.0015248
                     14,                0.74746,                0.40425,                 0.8602,                0.99954,                0.97909,                0.98832,                0.82594,                0.67561,                0.32264,                0.84616,              0.0014852,              0.0014852,              0.0014852
                     15,                0.74014,                0.39637,                0.85774,                      1,                0.97705,                0.98523,                0.79635,                0.76286,                0.39004,                0.86613,              0.0014456,              0.0014456,              0.0014456
                     16,                0.74536,                0.40119,                 0.8592,                0.99969,                0.97909,                0.98498,                0.85427,                0.57197,                0.31089,                0.82441,               0.001406,               0.001406,               0.001406
                     17,                0.71456,                0.38774,                0.85222,                0.99822,                0.97637,                0.98841,                0.86229,                0.54116,                0.31632,                0.81946,              0.0013664,              0.0013664,              0.0013664
                     18,                0.71478,                0.38101,                 0.8526,                      1,                0.97785,                0.98639,                0.84508,                0.58981,                0.29394,                0.82518,              0.0013268,              0.0013268,              0.0013268
                     19,                0.72169,                 0.3794,                0.85586,                0.99822,                0.98084,                0.98522,                0.83872,                0.62948,                0.37682,                0.83512,              0.0012872,              0.0012872,              0.0012872
                     20,                0.71015,                 0.3734,                0.85114,                0.99944,                0.97909,                  0.987,                0.86097,                  0.552,                0.29687,                0.81871,              0.0012476,              0.0012476,              0.0012476
                     21,                0.70065,                0.37364,                0.84847,                0.99954,                0.97909,                0.98568,                0.80805,                 0.6971,                0.31777,                 0.8426,               0.001208,               0.001208,               0.001208
                     22,                0.69974,                0.36948,                 0.8497,                0.99894,                0.97909,                0.98804,                0.84297,                0.60443,                 0.3097,                 0.8288,              0.0011684,              0.0011684,              0.0011684
                     23,                0.69888,                0.37165,                0.84542,                0.99994,                0.98084,                0.99049,                0.86614,                0.53647,                0.29039,                0.81532,              0.0011288,              0.0011288,              0.0011288
                     24,                0.69476,                0.36196,                0.84709,                0.99823,                0.98145,                0.98581,                0.85258,                 0.5836,                 0.2947,                  0.825,              0.0010892,              0.0010892,              0.0010892
                     25,                0.69128,                0.35704,                0.84651,                      1,                0.98035,                 0.9858,                0.83716,                0.60092,                0.28587,                 0.8263,              0.0010496,              0.0010496,              0.0010496
                     26,                0.67571,                0.34701,                0.83978,                      1,                0.97881,                0.98724,                0.86625,                0.53872,                0.29298,                 0.8184,                0.00101,                0.00101,                0.00101
                     27,                0.68533,                 0.3509,                0.84248,                0.99965,                0.97909,                0.98634,                0.86118,                0.54451,                0.26339,                0.81919,              0.0009704,              0.0009704,              0.0009704
                     28,                0.67165,                 0.3458,                0.84011,                0.99645,                0.97873,                0.98579,                0.85762,                 0.5728,                0.28883,                0.81857,              0.0009308,              0.0009308,              0.0009308
                     29,                0.67213,                 0.3448,                0.84321,                0.99996,                0.97735,                0.98814,                0.86438,                0.52621,                0.27131,                0.81271,              0.0008912,              0.0008912,              0.0008912
                     30,                0.66341,                0.34482,                0.83882,                0.99823,                0.98238,                0.98746,                0.87988,                0.49187,                0.25563,                0.80932,              0.0008516,              0.0008516,              0.0008516
                     31,                0.65152,                0.34275,                0.84006,                0.99963,                0.97909,                0.98709,                0.85226,                0.55463,                0.27165,                0.82062,               0.000812,               0.000812,               0.000812
                     32,                0.65947,                0.34039,                0.84228,                0.99949,                0.97909,                0.98678,                0.84289,                0.60309,                0.28333,                 0.8247,              0.0007724,              0.0007724,              0.0007724
                     33,                0.65527,                0.33552,                 0.8413,                 0.9994,                0.97909,                0.98876,                0.87977,                0.48668,                0.26259,                 0.8071,              0.0007328,              0.0007328,              0.0007328
                     34,                0.65078,                0.33184,                0.84125,                0.99968,                0.98084,                0.98621,                0.87352,                0.50085,                0.26449,                0.81042,              0.0006932,              0.0006932,              0.0006932
                     35,                0.64451,                 0.3306,                0.83772,                0.99902,                0.97909,                0.99024,                0.87279,                0.51125,                0.26247,                0.81007,              0.0006536,              0.0006536,              0.0006536
                     36,                0.63677,                0.32607,                0.83498,                0.99942,                0.97909,                 0.9865,                0.87837,                0.48367,                0.26047,                0.80684,               0.000614,               0.000614,               0.000614
                     37,                0.63765,                0.31742,                0.83391,                0.99814,                0.98084,                0.98599,                0.87082,                0.50604,                0.25713,                0.80965,              0.0005744,              0.0005744,              0.0005744
                     38,                0.62916,                0.32131,                0.83574,                0.99775,                0.97909,                0.98728,                0.86791,                0.51015,                 0.2701,                0.81307,              0.0005348,              0.0005348,              0.0005348
                     39,                0.63349,                0.32632,                0.83722,                0.99944,                0.98084,                  0.988,                0.87391,                0.50918,                0.25719,                0.80957,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.6355,                0.31707,                0.83576,                0.99855,                0.98258,                0.98851,                 0.8495,                0.58604,                0.27704,                0.82141,              0.0004556,              0.0004556,              0.0004556
                     41,                0.51747,                0.27815,                0.81813,                0.99956,                0.97909,                0.99037,                0.88511,                0.47071,                 0.2375,                0.80486,               0.000416,               0.000416,               0.000416
                     42,                0.50985,                0.26309,                0.81375,                0.99975,                0.97909,                 0.9883,                0.88296,                0.47422,                0.23664,                 0.8046,              0.0003764,              0.0003764,              0.0003764
                     43,                0.48904,                0.25071,                0.81507,                      1,                0.98235,                0.98729,                0.88579,                0.46791,                0.23269,                0.80409,              0.0003368,              0.0003368,              0.0003368
                     44,                0.47804,                0.25141,                0.80808,                      1,                0.98069,                0.99064,                0.89997,                0.43145,                0.22339,                0.79863,              0.0002972,              0.0002972,              0.0002972
                     45,                0.47448,                0.24601,                0.80574,                      1,                0.98066,                0.99018,                0.89608,                0.44466,                0.22145,                0.79804,              0.0002576,              0.0002576,              0.0002576
                     46,                0.46679,                0.24255,                0.81013,                      1,                0.98058,                0.99221,                0.89225,                0.47033,                  0.225,                0.80241,               0.000218,               0.000218,               0.000218
                     47,                0.46181,                0.23756,                0.80291,                0.99979,                0.97909,                0.99168,                0.90107,                0.44318,                0.21838,                0.79882,              0.0001784,              0.0001784,              0.0001784
                     48,                0.45846,                0.23528,                0.79974,                0.99975,                0.97909,                0.99122,                0.89416,                0.45939,                0.21403,                0.80176,              0.0001388,              0.0001388,              0.0001388
                     49,                0.45529,                0.23165,                  0.804,                      1,                0.98069,                0.99261,                0.90265,                0.44353,                0.21424,                 0.7999,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.45146,                0.22876,                0.80631,                      1,                0.98069,                0.99247,                0.90258,                0.43447,                0.20732,                0.79861,               5.96e-05,               5.96e-05,               5.96e-05
