                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1823,                 2.4249,                 1.2984,                0.97361,                0.70148,                0.92775,                0.57315,                 1.3559,                 2.3925,                0.98987,             0.00065812,             0.00065812,             0.00065812
                      2,                  1.678,                 1.5006,                 1.0236,                 0.8906,                0.94867,                0.96086,                0.41079,                 1.6207,                 1.4537,                0.98889,              0.0012986,              0.0012986,              0.0012986
                      3,                 1.5616,                 1.3106,                0.97022,                0.90454,                0.95481,                0.97227,                0.41375,                 1.8132,                 1.3453,                0.94785,              0.0019126,              0.0019126,              0.0019126
                      4,                 1.5042,                  1.149,                0.94209,                0.99933,                      1,                  0.995,                0.60403,                 1.1955,                0.95438,                0.82004,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5367,                 1.1639,                0.90987,                0.71324,                0.99905,                0.85854,                0.44646,                 1.6411,                 1.2849,                0.85732,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.5515,                 1.1348,                0.93089,                 0.9361,                0.96198,                0.98757,                0.51956,                 1.3303,                 1.1336,                0.83051,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.3911,                0.95046,                0.87807,                0.98663,                      1,                0.99401,                0.68742,                 1.0605,                0.72912,                0.78912,               0.001802,               0.001802,               0.001802
                      8,                 1.2972,                0.85042,                0.83758,                0.98394,                 0.9962,                0.99458,                0.60624,                 1.3122,                0.85144,                0.78386,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3012,                0.85641,                0.82803,                0.94364,                0.99905,                0.99387,                0.58075,                 1.5186,                0.85247,                0.78502,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3732,                0.91432,                0.90286,                0.90504,                      1,                0.98589,                0.60864,                 1.2643,                0.87252,                0.83147,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2077,                0.81213,                0.86094,                0.96784,                0.99905,                  0.995,                0.67426,                 1.1099,                0.66902,                0.77481,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.1206,                0.75827,                0.81727,                0.97055,                0.99525,                0.99468,                0.75863,                0.90725,                0.68392,                 0.7712,               0.001604,               0.001604,               0.001604
                     13,                 1.0361,                 0.6934,                0.80724,                0.97639,                      1,                0.99472,                0.76297,                0.93947,                0.61776,                0.74698,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.0646,                0.68493,                0.80831,                0.98481,                 0.9962,                0.99398,                0.71806,                  1.094,                0.61226,                0.77231,              0.0015248,              0.0015248,              0.0015248
                     15,                0.98034,                0.64437,                0.79837,                0.99893,                      1,                  0.995,                 0.7496,                0.89537,                0.57682,                0.73192,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.0346,                0.67699,                 0.8003,                0.99728,                      1,                0.99497,                0.74891,                0.91978,                0.63327,                0.74695,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0584,                0.66661,                0.80523,                0.99936,                      1,                  0.995,                0.77135,                0.93937,                0.59154,                0.76218,               0.001406,               0.001406,               0.001406
                     18,                 1.0851,                0.68258,                0.82873,                0.97541,                      1,                  0.995,                0.79881,                0.79988,                0.53956,                0.76088,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.0293,                0.64146,                0.81043,                0.97597,                0.99525,                0.99351,                0.70809,                  1.096,                0.61131,                0.75278,              0.0013268,              0.0013268,              0.0013268
                     20,                0.99458,                0.63333,                0.80787,                0.97236,                0.98099,                0.98348,                0.68128,                 1.0775,                0.61605,                0.77278,              0.0012872,              0.0012872,              0.0012872
                     21,                0.98258,                0.62212,                0.80841,                 0.9985,                      1,                0.99495,                0.79747,                0.72349,                0.51767,                0.75269,              0.0012476,              0.0012476,              0.0012476
                     22,                0.92721,                0.59874,                0.80093,                0.99802,                      1,                0.99491,                0.83037,                0.72986,                0.50473,                0.73825,               0.001208,               0.001208,               0.001208
                     23,                0.94211,                0.59405,                0.79311,                 0.9984,                      1,                  0.995,                0.77731,                0.77439,                0.53455,                0.73526,              0.0011684,              0.0011684,              0.0011684
                     24,                0.94888,                0.59694,                0.79458,                0.99953,                      1,                  0.995,                0.80837,                 0.6888,                 0.4862,                 0.7359,              0.0011288,              0.0011288,              0.0011288
                     25,                0.92055,                0.57915,                 0.8014,                0.99969,                      1,                  0.995,                0.79981,                0.72836,                0.51887,                0.74638,              0.0010892,              0.0010892,              0.0010892
                     26,                0.91404,                0.58253,                0.79213,                0.99033,                 0.9981,                0.99438,                0.78646,                0.76362,                0.54336,                0.73849,              0.0010496,              0.0010496,              0.0010496
                     27,                0.89892,                0.56969,                0.78861,                0.99956,                      1,                  0.995,                0.80404,                0.71886,                0.50556,                0.74264,                0.00101,                0.00101,                0.00101
                     28,                 0.8796,                0.55879,                0.78782,                0.99864,                0.99905,                0.99496,                0.78715,                0.83161,                0.47324,                0.73673,              0.0009704,              0.0009704,              0.0009704
                     29,                0.85632,                0.54531,                0.79532,                0.99916,                      1,                  0.995,                0.86435,                0.58229,                0.43798,                0.73052,              0.0009308,              0.0009308,              0.0009308
                     30,                0.87305,                0.54731,                0.79699,                0.99961,                      1,                  0.995,                 0.8345,                0.62388,                 0.4389,                0.73871,              0.0008912,              0.0008912,              0.0008912
                     31,                0.82385,                0.52528,                0.78752,                0.99784,                 0.9981,                 0.9949,                 0.8118,                0.72238,                0.52082,                0.73254,              0.0008516,              0.0008516,              0.0008516
                     32,                0.84218,                 0.5389,                0.78111,                0.99698,                      1,                  0.995,                0.87952,                0.61281,                0.43035,                0.72788,               0.000812,               0.000812,               0.000812
                     33,                0.83827,                0.53375,                0.78323,                0.99889,                      1,                  0.995,                0.82895,                0.70176,                0.46421,                0.73324,              0.0007724,              0.0007724,              0.0007724
                     34,                0.80152,                0.51561,                 0.7858,                0.99989,                      1,                  0.995,                 0.8791,                0.57723,                0.43027,                0.72887,              0.0007328,              0.0007328,              0.0007328
                     35,                0.80189,                0.50432,                0.79291,                0.99329,                0.99905,                0.99495,                0.84833,                0.69769,                0.42985,                0.73843,              0.0006932,              0.0006932,              0.0006932
                     36,                0.77422,                0.49721,                0.78588,                0.99916,                      1,                  0.995,                0.87523,                0.62332,                0.45137,                0.73826,              0.0006536,              0.0006536,              0.0006536
                     37,                0.77417,                0.49493,                0.78271,                0.97823,                0.99905,                0.99473,                0.82341,                0.72278,                0.44826,                0.73182,               0.000614,               0.000614,               0.000614
                     38,                0.76463,                0.48144,                0.78037,                0.99889,                0.99905,                0.99497,                0.85281,                0.56869,                0.41833,                0.72748,              0.0005744,              0.0005744,              0.0005744
                     39,                0.74445,                0.47621,                 0.7805,                0.99128,                      1,                0.99499,                0.89484,                0.52535,                0.39677,                0.72907,              0.0005348,              0.0005348,              0.0005348
                     40,                0.70239,                 0.4629,                0.77979,                0.99955,                      1,                  0.995,                0.89542,                0.50749,                0.39084,                0.72613,              0.0004952,              0.0004952,              0.0004952
                     41,                0.74059,                0.48348,                0.74454,                0.99689,                      1,                0.99495,                0.86194,                0.65313,                0.43535,                0.73204,              0.0004556,              0.0004556,              0.0004556
                     42,                0.73114,                0.48829,                0.74679,                0.99684,                      1,                0.99497,                0.87197,                0.59857,                0.40666,                0.73244,               0.000416,               0.000416,               0.000416
                     43,                0.70068,                0.45738,                0.73525,                0.99212,                0.99905,                0.99485,                0.88628,                0.57622,                0.41566,                0.72487,              0.0003764,              0.0003764,              0.0003764
                     44,                0.65312,                0.44389,                0.74097,                0.99961,                0.99905,                  0.995,                 0.9052,                 0.4725,                0.34931,                0.72603,              0.0003368,              0.0003368,              0.0003368
                     45,                0.65797,                0.43547,                0.73952,                0.99428,                 0.9981,                0.99488,                 0.8944,                0.54763,                0.39331,                0.72478,              0.0002972,              0.0002972,              0.0002972
                     46,                0.64503,                 0.4261,                0.74092,                0.99548,                      1,                  0.995,                0.90899,                0.46095,                0.35845,                0.72535,              0.0002576,              0.0002576,              0.0002576
                     47,                0.62571,                0.41869,                0.73205,                0.98582,                      1,                0.99473,                0.90566,                0.51973,                0.37762,                0.72492,               0.000218,               0.000218,               0.000218
                     48,                0.62099,                 0.4078,                0.73097,                 0.9976,                      1,                  0.995,                 0.9191,                0.44534,                0.33588,                0.71841,              0.0001784,              0.0001784,              0.0001784
                     49,                0.59427,                0.39475,                0.73473,                0.99998,                      1,                  0.995,                0.91739,                0.43722,                0.35462,                0.72038,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.5673,                0.39474,                0.73069,                 0.9984,                      1,                  0.995,                0.92535,                0.43208,                0.34386,                 0.7204,               9.92e-05,               9.92e-05,               9.92e-05
