epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3237,4.71828,9.03739,3.32273,0.17161,0.1914,0.08023,0.01632,3.44516,3.11712,1.75029,0.000413486,0.000413486,0.000413486
2,64.4574,2.6292,2.63415,1.54474,0.37175,0.40158,0.30098,0.08926,2.89917,2.60907,1.78275,0.000813716,0.000813716,0.000813716
3,95.1369,2.20653,1.95036,1.30626,0.68345,0.64067,0.7256,0.33253,1.84833,1.44517,1.1055,0.00119745,0.00119745,0.00119745
4,124.416,1.98631,1.58336,1.21449,0.83026,0.8037,0.89165,0.44474,1.67619,1.52848,1.04692,0.00117575,0.00117575,0.00117575
5,155.037,1.84803,1.34361,1.16524,0.88116,0.89538,0.94321,0.53559,1.45181,0.99379,0.98128,0.001151,0.001151,0.001151
6,184.088,1.72666,1.18139,1.1105,0.8603,0.8801,0.94,0.56591,1.312,0.92048,0.94928,0.00112625,0.00112625,0.00112625
7,214.372,1.66988,1.06774,1.0887,0.9696,0.96188,0.98806,0.58437,1.38103,0.78337,0.95552,0.0011015,0.0011015,0.0011015
8,244.635,1.60898,1.00902,1.07499,0.94603,0.94151,0.97872,0.55998,1.43595,0.78188,0.95776,0.00107675,0.00107675,0.00107675
9,274.051,1.57631,0.95902,1.06212,0.97737,0.97839,0.99114,0.58676,1.36148,0.73961,0.94415,0.001052,0.001052,0.001052
10,303.954,1.5479,0.9233,1.05604,0.98154,0.97889,0.99172,0.66683,1.17415,0.6689,0.90536,0.00102725,0.00102725,0.00102725
11,333.84,1.50638,0.87819,1.03948,0.9801,0.96893,0.99071,0.6132,1.30537,0.72497,0.93217,0.0010025,0.0010025,0.0010025
12,363.312,1.48612,0.85244,1.03717,0.9854,0.98877,0.99363,0.57319,1.53895,0.7086,0.97442,0.00097775,0.00097775,0.00097775
13,392.7,1.45097,0.82715,1.02524,0.99133,0.98572,0.99361,0.59393,1.4058,0.71699,0.94632,0.000953,0.000953,0.000953
14,422.539,1.41841,0.80349,1.01127,0.97899,0.978,0.99335,0.6656,1.15496,0.71931,0.89493,0.00092825,0.00092825,0.00092825
15,452.614,1.38736,0.77737,1.00425,0.98756,0.9803,0.9933,0.6684,1.18851,0.5952,0.92148,0.0009035,0.0009035,0.0009035
16,482.208,1.35334,0.7515,0.99654,0.9762,0.9655,0.99121,0.64309,1.2408,0.68955,0.92248,0.00087875,0.00087875,0.00087875
17,511.034,1.32728,0.73737,0.98881,0.97899,0.97534,0.99168,0.68677,1.11602,0.59969,0.89651,0.000854,0.000854,0.000854
18,540.474,1.32442,0.7194,0.98758,0.98531,0.98236,0.9932,0.71942,1.0197,0.55843,0.87934,0.00082925,0.00082925,0.00082925
19,569.966,1.31473,0.70618,0.9831,0.9846,0.98158,0.99354,0.73522,0.95776,0.51894,0.86451,0.0008045,0.0008045,0.0008045
20,599.448,1.27979,0.68805,0.97351,0.98263,0.98306,0.99294,0.61667,1.35317,0.65679,0.9223,0.00077975,0.00077975,0.00077975
21,629.122,1.28197,0.68208,0.96809,0.98347,0.97862,0.99303,0.69934,1.07922,0.58537,0.88458,0.000755,0.000755,0.000755
22,658.894,1.27799,0.67653,0.96946,0.99137,0.9887,0.99435,0.70424,1.05176,0.53659,0.87634,0.00073025,0.00073025,0.00073025
23,688.756,1.23488,0.65218,0.96171,0.98818,0.98762,0.99433,0.72929,0.98196,0.51937,0.87131,0.0007055,0.0007055,0.0007055
24,717.722,1.2397,0.64705,0.96076,0.99435,0.99009,0.99476,0.74125,0.93806,0.50294,0.86241,0.00068075,0.00068075,0.00068075
25,748.261,1.23466,0.64072,0.95544,0.99405,0.98934,0.99473,0.70397,1.07731,0.53479,0.88379,0.000656,0.000656,0.000656
26,777.688,1.20381,0.62792,0.94962,0.97993,0.97797,0.99403,0.73752,0.95897,0.51781,0.86626,0.00063125,0.00063125,0.00063125
27,806.602,1.22252,0.62642,0.95478,0.99398,0.99027,0.99446,0.70175,1.09607,0.52541,0.89356,0.0006065,0.0006065,0.0006065
28,835.804,1.19544,0.61719,0.94896,0.99435,0.98679,0.99433,0.72406,1.02419,0.49929,0.87656,0.00058175,0.00058175,0.00058175
